Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Carify Auto Corp,0,0,0,2,0.0011545728080610174,0.047619047619047616,,
Garage Plus Auto Centre Inc,2,2,2,2,0.0005073122944510532,0.029411764705882353,239.0,0.0041841004184100415
9350-8406 Quebec Inc,0,0,0,2,0.0011195857532712897,0.09090909090909091,,
All Purpose Towing,1,1,0,2,0.001049611643691834,0.06818181818181818,135.0,0.011908962597035992
Imaan Auto House Ltd.,0,0,0,2,0.0011895598628507453,0.024527186761229315,107.0,0.009345794392523364
Canadian Fine Motors,0,0,0,2,0.0002099223287383668,0.14285714285714285,,
North Shore Acura,1,1,1,2,0.0005597928766356449,0.15384615384615385,173.5,0.005763688760806916
401 Motors Brockville,0,0,0,2,0.0001049611643691834,0.039230769230769236,,
2818876 Canada Inc - ADF Autos,0,0,0,2,0.0002099223287383668,0.058333333333333334,,
2631273 Ontario Inc.,2,2,2,2,0.0003148834931075502,0.13392857142857142,206.0,0.0048543689320388345
Car Guys Incorporated,0,0,0,2,0.0006822475683996921,0.04257246376811594,87.0,0.011494252873563218
2188388 Ontario Inc,0,0,0,2,0.0020467427051990765,0.14285714285714285,,
Autofi Canada Inc,1,1,0,2,0.0015219368833531593,0.2222222222222222,134.5,0.007434944237918215
Good Deal Motors Ltd.,0,0,0,2,0.0001049611643691834,0.03333333333333333,51.0,0.0196078431372549
1000219133 Ontario Inc,0,0,0,2,0.0008571828423483311,0.039230769230769236,,
Greenwood Auto Sales,0,0,0,2,5.24805821845917e-05,0.14285714285714285,281.0,0.0035587188612099642
Unicool Auto Sales Inc,1,1,1,2,0.0008921698971380589,0.3,203.5,0.005223037831733484
2449303 Ontario Ltd - Venture Auto,2,2,0,2,0.0009621440067175145,0.010568472577594839,189.0,0.005291005291005291
