Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Nissan,Rogue,2016,AWD 4dr SV,Sundance Chevrolet,1,1,0,1,0.012070533902456092,0.02127659574468085,92.0,0.010869565217391304
Nissan,Rogue,2016,AWD 4dr SV,Toronto Auto Group,1,1,1,1,0.002099223287383668,0.02127659574468085,88.0,0.011363636363636364
Nissan,Rogue,2016,AWD 4dr SV,Tricity Auto,1,1,1,1,0.0015044433559582954,0.02127659574468085,87.0,0.011494252873563218
Nissan,Rogue,2016,AWD 4dr SV,United Stars Auto Ltd,1,0,0,1,0.00043733818487159753,0.02127659574468085,218.0,0.0045871559633027525
Chevrolet,Cruze,2015,4dr Sdn 1LT,Sundance Chevrolet,2,2,2,2,0.012070533902456092,0.07692307692307693,144.5,0.006920415224913495
Chevrolet,Cruze,2015,4dr Sdn 1LT,DO NOT USE - First Choice Motors,0,0,0,2,0.002414106780491218,0.07692307692307693,,
Chevrolet,Cruze,2015,4dr Sdn 1LT,Location MAP Leasing,2,2,2,2,0.0011545728080610174,0.07692307692307693,207.0,0.004830917874396135
Chevrolet,Cruze,2015,4dr Sdn 1LT,1000219133 Ontario Inc,0,0,0,1,0.0008571828423483311,0.038461538461538464,,
Chevrolet,Cruze,2015,4dr Sdn 1LT,JP Motors Sales Inc.,0,0,0,1,0.0029214190749422713,0.038461538461538464,57.0,0.017543859649122806
Chevrolet,Cruze,2015,4dr Sdn 1LT,Waynes Auto World,0,0,0,1,0.0014869498285634316,0.038461538461538464,106.0,0.009433962264150943
Chevrolet,Cruze,2015,4dr Sdn 1LT,Wagner Auto Sales - Corey D. Wagner,1,1,1,1,5.24805821845917e-05,0.038461538461538464,242.0,0.004132231404958678
Chevrolet,Cruze,2015,4dr Sdn 1LT,Unicar Auto Group,1,1,1,1,0.0023616261983066267,0.038461538461538464,,
Chevrolet,Cruze,2015,4dr Sdn 1LT,Speedbit Inc.,0,0,0,1,0.001591910992932615,0.038461538461538464,46.0,0.021739130434782608
Chevrolet,Cruze,2015,4dr Sdn 1LT,Pret Auto 60 Minutes,0,0,0,1,0.0002624029109229585,0.038461538461538464,50.0,0.02
Chevrolet,Cruze,2015,4dr Sdn 1LT,Patterson Auto Sales Inc.,0,0,0,1,0.0020117556504093484,0.038461538461538464,219.0,0.0045662100456621
Chevrolet,Cruze,2015,4dr Sdn 1LT,Japcan Motors Ltd.,1,0,0,1,0.0005597928766356449,0.038461538461538464,186.0,0.005376344086021506
Chevrolet,Cruze,2015,4dr Sdn 1LT,JJ Motor Cars,1,1,1,1,8.74676369743195e-05,0.038461538461538464,84.0,0.011904761904761904
