Make,Model,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Dodge,Grand Caravan,9436-2522 Quebec Inc,5,4,3,7,0.0017843397942761178,0.007216494845360825,140.5,0.0071174377224199285
Dodge,Grand Caravan,Autofi Canada Inc,4,4,4,7,0.0015219368833531593,0.007216494845360825,194.0,0.005154639175257732
Dodge,Grand Caravan,627000 Ontario Limited - Pastime Motors,5,4,1,6,0.0007347281505842838,0.006185567010309278,104.0,0.009615384615384616
Dodge,Grand Caravan,MCBO Auto,3,3,3,6,0.0009971310615072423,0.006185567010309278,132.6,0.007541478129713424
Dodge,Grand Caravan,AutoRev,1,1,1,6,0.0012595339724302008,0.006185567010309278,106.8,0.009363295880149813
Dodge,Grand Caravan,Lucky Motorcars Inc,3,3,3,6,0.00019242880134350291,0.006185567010309278,183.8,0.005440696409140369
Dodge,Grand Caravan,Carrally Auto Sales Ltd,0,0,0,6,0.0004198446574767336,0.006185567010309278,177.5,0.005633802816901409
Dodge,Grand Caravan,Concept Auto,1,0,0,6,0.0021866909243579875,0.006185567010309278,153.5,0.006514657980456026
Dodge,Grand Caravan,Canada Cars,2,1,1,6,0.002344132670911763,0.006185567010309278,236.5,0.004228329809725159
Honda,CR-V,Markham Honda,22,21,16,24,0.0023091456161220348,0.024844720496894408,182.04761904761904,0.0054930682709913685
Honda,CR-V,Autorama 2000 Inc.,21,17,11,23,0.005860331677279407,0.023809523809523808,167.89473684210526,0.0059561128526645765
Honda,CR-V,Meraki Auto Inc,7,7,4,18,0.0016618851025120705,0.018633540372670808,116.42857142857143,0.008588957055214723
Honda,CR-V,Tabangi Motors,12,10,6,17,0.003656147225526555,0.017598343685300208,108.15384615384616,0.009246088193456613
Honda,CR-V,Whitby Oshawa Honda,10,9,6,17,0.0012945210272199287,0.017598343685300208,150.75,0.006633499170812604
Honda,CR-V,ClearCar,15,11,9,17,0.006577566300468827,0.017598343685300208,144.11111111111111,0.006939090208172706
Honda,CR-V,1302164 B.C Ltd - Penticton Honda,15,15,15,16,0.0020642362325939403,0.016563146997929608,214.33333333333334,0.004665629860031104
Honda,CR-V,Autospace Incorporated - Deals On Wheelz,4,3,3,15,0.011458260443635855,0.015527950310559006,105.33333333333333,0.00949367088607595
Honda,CR-V,Sisley For Honda,15,15,8,15,0.002624029109229585,0.015527950310559006,187.9090909090909,0.005321722302854379
Honda,CR-V,Pioneer Chrysler BC,12,12,12,14,0.010478622909523476,0.014492753623188406,142.14285714285714,0.007035175879396985
Honda,CR-V,Moncton Honda - Baig Blvd Motors Inc,11,6,3,14,0.0011720663354558814,0.014492753623188406,131.58333333333334,0.007599746675110829
Honda,CR-V,National Auto Finance & Brokers Inc,8,6,5,14,0.0009971310615072423,0.014492753623188406,184.0,0.005434782608695652
Honda,CR-V,Luxury Line Auto Inc,5,5,4,13,0.0020467427051990765,0.013457556935817806,133.36363636363637,0.007498295841854123
