,Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
126,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Gateway Leasing,1,1,1,4,0.008466867259114127,0.04878048780487805,159.0,0.006289308176100629
127,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Explorer Van Canada,2,1,0,4,0.0016968721573017984,0.04878048780487805,160.66666666666666,0.006224066390041494
128,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,1202894 Ontario Inc - Edwards Mazda,2,2,2,3,0.002484080890070674,0.036585365853658534,178.0,0.0056179775280898875
129,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Sundance Chevrolet,2,2,1,2,0.012070533902456092,0.024390243902439025,,
130,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,1716858 Ontario Inc.,0,0,0,2,0.0028864320201525437,0.024390243902439025,191.0,0.005235602094240838
131,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,2776588 Ontario Limited - Trucktown,0,0,0,2,0.00851934784129872,0.024390243902439025,62.5,0.016
132,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Midcan Brokers Inc.,0,0,0,2,0.003341263732419005,0.024390243902439025,183.0,0.00546448087431694
133,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Automobile Endirect.com,1,1,0,1,0.008956686026170318,0.012195121951219513,268.0,0.0037313432835820895
134,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Punjab Motors Ltd.,0,0,0,1,0.0003148834931075502,0.012195121951219513,95.0,0.010526315789473684
135,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Pacific Nations Auto Sales And Finance Ltd,0,0,0,1,0.0008047022601637394,0.012195121951219513,129.0,0.007751937984496124
136,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Pickard Lane Leasing,1,0,0,1,0.0036386536981316913,0.012195121951219513,217.0,0.004608294930875576
137,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Pioneer Chrysler BC,1,0,0,1,0.010478622909523476,0.012195121951219513,,
138,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Prime Line Auto Group,0,0,0,1,0.0007347281505842838,0.012195121951219513,,
139,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,2547945 Ontario Inc,0,0,0,1,0.0024490938352809462,0.012195121951219513,281.0,0.0035587188612099642
